smiles,qed,lipinski_violations
CC(C)c1c(CCC(O)CC(=O)O)n(CCC(C=O)CC(=O)O)cc(F)c2ccc1cc2,0.42482438884323986,0
CC(=CC(O)C1CCC(C)CC1OC1CC=CC1=C1OC(O)CCCC1C)CO,0.6046576211229661,0
CC(=O)C(NCc1ccccc1)C1=C(CO)CC(CCC(O)CC(=O)O)C(c2ccc(F)cc2)=N1,0.3688133647409769,0
CC(C)c1nc(C(C)NCc2ccccc2)c(CCC(O)CC(O)CC(=O)O)[nH]1,0.3718175501663932,0
Cc1cc(-c2nc(C)n(C=CC(O)C(C)(C)OC(=O)O)c2-c2ccc(F)cc2)ccc1F,0.49837901048419164,1
CCC1OCC(=O)C(C)CC(CC(O)CC(=O)O)CC=C2C(C(C)C)C=CCC21,0.6389739344273156,0
CCC(O)CCc1c(C=CC(O)CC(=O)O)nn(-c2ccc(F)cc2)c1C1=CC(F)(F)C=C1,0.4931003209775947,0
Cc1c(C(C)C)c(-c2ccc(F)cc2)n(CCC(O)C(C)O)c1C=CC(O)CC(=O)O,0.4574814605098172,0
C=C1CC2C=C(CO)C3CCC(=O)C(CC)C(CO1)CC(=O)CC(C)(C)C(C)CC(=O)OC2C3,0.4569700203968575,0
CC(C)c1nc(-c2ccc(F)cc2)c(-c2cccc(Cl)c2)n1C=CC(O)CC(O)CC(=O)O,0.39802503200392936,1
O=CC(O)CC(CCn1cc(F)c(C(=O)Nc2cccnc2)c1-c1cccc(F)c1)[SH](=O)=O,0.304909244776276,0
Cc1c(C=CC(O)CC(O)CC(=O)O)nc(-c2ccc(F)cc2)c(C)c1C(C)C,0.61585566398187,0
Cc1nc(C(C)C)c(-c2ccc(C(=O)NCc3ccccc3)cc2)n1CCC(O)CC(O)CC(=O)O,0.3034308303316463,0
CCC(C)C1CC(=O)C(C2CC(C(O)CCC(O)C(=O)O)C=CC2C)C(O)C1,0.468457570413408,0
CC(C)c1nc(C(C)C)n(C=CC(O)(O)CC(O)c2ccc(F)cc2)c1-c1ccn(F)c1,0.43731518788099705,0
