smiles,qed,scaffold_smiles,source
CC(C)n1c(C(=O)NCc2ccccc2)nc(-c2ccc(F)cc2)c1CCC(O)CC(O)CC(=O)O,0.3023424012331181,O=C(NCc1ccccc1)c1nc(-c2ccccc2)c[nH]1,train
O=C(CC(O)CC(CCc1n(c(nc1-c1ccc(F)cc1)C(=O)NCc1ccccc1)C(C)C)O)O,0.3023424012331181,O=C(NCc1ccccc1)c1nc(-c2ccccc2)c[nH]1,train
O=C(c1n(C(C)C)c(c(-c2ccc(F)cc2)n1)CCC(CC(O)CC(=O)O)O)NCc1ccccc1,0.3023424012331181,O=C(NCc1ccccc1)c1nc(-c2ccccc2)c[nH]1,train
c1cc(F)ccc1-c1nc(C(=O)NCc2ccccc2)n(c1CCC(CC(CC(O)=O)O)O)C(C)C,0.3023424012331181,O=C(NCc1ccccc1)c1nc(-c2ccccc2)c[nH]1,train
O=C(CC(O)CC(CCc1n(c(C(NCc2ccccc2)=O)nc1-c1ccc(cc1)F)C(C)C)O)O,0.3023424012331181,O=C(NCc1ccccc1)c1nc(-c2ccccc2)c[nH]1,train
n1(c(nc(c1CCC(O)CC(CC(O)=O)O)-c1ccc(cc1)F)C(NCc1ccccc1)=O)C(C)C,0.3023424012331181,O=C(NCc1ccccc1)c1nc(-c2ccccc2)c[nH]1,train
c1(CNC(=O)c2n(c(c(n2)-c2ccc(F)cc2)CCC(CC(O)CC(O)=O)O)C(C)C)ccccc1,0.3023424012331181,O=C(NCc1ccccc1)c1nc(-c2ccccc2)c[nH]1,train
C(c1n(c(C(NCc2ccccc2)=O)nc1-c1ccc(cc1)F)C(C)C)CC(O)CC(CC(O)=O)O,0.3023424012331181,O=C(NCc1ccccc1)c1nc(-c2ccccc2)c[nH]1,train
N(Cc1ccccc1)C(c1nc(c(CCC(O)CC(O)CC(=O)O)n1C(C)C)-c1ccc(cc1)F)=O,0.3023424012331181,O=C(NCc1ccccc1)c1nc(-c2ccccc2)c[nH]1,train
c1(n(C(C)C)c(nc1-c1ccc(cc1)F)C(NCc1ccccc1)=O)CCC(O)CC(O)CC(=O)O,0.3023424012331181,O=C(NCc1ccccc1)c1nc(-c2ccccc2)c[nH]1,train
c1c(CNC(=O)c2n(c(CCC(CC(CC(O)=O)O)O)c(-c3ccc(F)cc3)n2)C(C)C)cccc1,0.3023424012331181,O=C(NCc1ccccc1)c1nc(-c2ccccc2)c[nH]1,train
N(C(=O)c1n(c(CCC(O)CC(CC(=O)O)O)c(-c2ccc(F)cc2)n1)C(C)C)Cc1ccccc1,0.3023424012331181,O=C(NCc1ccccc1)c1nc(-c2ccccc2)c[nH]1,train
