smiles,qed,lipinski_violations
CCNC(=O)C1=C(c2ccc(F)cc2)C(C)N(C=CC(O)CC(O)CC(=O)O)C(c2cccc(F)c2)=C1,0.3865871940172916,1
CC(=O)CC(O)CC(O)CCn1c(C(C)C)nc(-c2ccc(F)cc2)c1-c1ccc(F)cc1,0.4451309147279241,1
CC(C)n1c(-c2cccc(F)c2)c(-c2ccc(F)cc2)n1C=CC(O)CC(O)CO,0.518744293390893,0
CC(C)c1c(-c2ccc(Cl)cc2)nc(-c2ccc(Cl)cc2)n1CCC(O)CCC(O)C(=O)O,0.34205816639925385,1
CC(C)CC(O)C=C(C(=O)CCC(O)C=O)C1CC(C)C2C(CCC(O)CC(=O)O)CCC12,0.22831209658549542,0
CCC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1C=C(O)CC(O)CC(=O)O,0.36489850800387363,1
CC(C)c1nc(-c2ccc(F)cc2)n(C=CC(O)CC(O)CO)c1-c1ccc(F)cc1,0.502702665881919,0
CC(c1ccc(F)cc1)c1ncn(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,0.46498448482413374,0
Cc1nc(C(C)C)n(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(-c2ccc(F)cc2)cc1,0.4315755950116482,0
CC(C)c1nc(-c2ccc(F)cc2)c(-c2cccc(F)c2)n1C=CC(O)CC(=O)O,0.5773188265611184,0
CCC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)nc1C=CC(O)CC(O)O,0.44308935605079586,0
CC(C)n1n(CCCC(c2ccc(F)cc2)C(O)CCCC(=O)O)c(=O)n1-c1ccccc1,0.42341666192444427,0
Cc1c(C(=O)NCc2ccccn2)c(C(C)C)c(CCC(O)CC(O)CO)n1-c1ccc(F)cc1,0.33438736293513077,0
CCc1ccc(-c2c(-c3ccc(F)cc3)c(C(C)C)nn2C=CC(=O)CC(O)CC(O)O)cc1,0.3013400224229015,0
Cc1cc(-c2nc(-c3ccc(F)cc3)n(C=CC(O)C(C)C(=O)O)c2C(C)C)ccc1F,0.5102058728184425,1
Cc1c(C=CC(O)CC(=O)O)nc(-c2cccc(F)c2)c(C(C)C)c1C(C)C,0.6791394585031172,1
CC(C)CC(C)CCC(=O)OC1CC(CC(C)(C)CC(C)C)C(C(O)CCC(=O)O)C1,0.32002541428075404,1
CC(C)c1cc(-c2ccc(F)cc2)c(-c2ccccc2)n1C=CC(CC(O)CO)C(C)O,0.42583420028429375,1
Cc1ccc(-c2cc(-c3ccc(F)cc3)c(C(C)C)n2C=CC(O)CC(=O)CC(C)O)cc1F,0.4000895436515373,1
